,Player,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,Dot%,Format,Country,Balls,Outs,HS,50,100,Dot %
6,Sisanda Magala,6.0,20.0,226.0,6.0,11.3,37.7,20.0,0.0,3/21,19.0,12.0,40.0,T20I,SouthAfrica,,,,,,
8,Keshav Maharaj,26.0,86.5,645.0,23.0,7.43,28.0,22.7,0.0,2/21,44.0,26.0,38.0,T20I,SouthAfrica,,,,,,
10,Aiden Markram,16.0,33.0,262.0,9.0,7.94,29.1,22.0,0.0,3/21,12.0,18.0,47.0,T20I,SouthAfrica,,,,,,
12,Lungi Ngidi,24.0,77.3,735.0,32.0,9.48,23.0,14.5,1.0,5/39,63.0,40.0,46.9,T20I,SouthAfrica,,,,,,
14,Anrich Nortje,25.0,85.0,587.0,35.0,6.91,16.8,14.6,0.0,4/10,46.0,27.0,51.2,T20I,SouthAfrica,,,,,,
16,Kagiso Rabada,30.0,104.5,908.0,27.0,8.66,33.6,23.3,0.0,3/20,92.0,42.0,47.2,T20I,SouthAfrica,,,,,,
18,Tabraiz Shamsi,38.0,135.4,976.0,55.0,7.19,17.7,14.8,1.0,5/24,50.0,48.0,43.0,T20I,SouthAfrica,,,,,,
0,Bas de Leede,21.0,58.1,433.0,29.0,7.44,14.9,12.0,0.0,3/19,42.0,9.0,49.9,T20I,Netherlands,,,,,,
2,Paul van Meekeren,17.0,58.0,413.0,17.0,7.12,24.3,20.5,0.0,3/29,36.0,12.0,52.0,T20I,Netherlands,,,,,,
4,Colin Ackermann,4.0,10.0,69.0,2.0,6.9,34.5,30.0,0.0,1/17,6.0,2.0,43.3,T20I,Netherlands,,,,,,
6,Roelof van der Merwe,8.0,17.0,132.0,2.0,7.76,66.0,51.0,0.0,1/6,9.0,4.0,33.3,T20I,Netherlands,,,,,,
8,Logan van Beek,14.0,45.4,332.0,16.0,7.27,20.8,17.1,0.0,4/27,24.0,14.0,47.4,T20I,Netherlands,,,,,,
10,Aryan Dutt,6.0,15.0,116.0,5.0,7.73,23.2,18.0,0.0,2/14,3.0,7.0,43.3,T20I,Netherlands,,,,,,
12,Ryan Klein,2.0,4.0,45.0,1.0,11.25,45.0,24.0,0.0,1/18,4.0,2.0,20.8,T20I,Netherlands,,,,,,
14,Shariz Ahmad,10.0,26.0,168.0,8.0,6.46,21.0,19.5,0.0,2/15,9.0,6.0,37.8,T20I,Netherlands,,,,,,
